Res	Resprod
	"[Source iMedia]
Des paysages, des lieux magnifiques et des populations vivent en harmonie avec la nature, fières de leur culture et de leurs traditions."
"- Rétrospective chronologique des croyances liées aux extra-terrestres : les Martiens du Pr Scaparelli, les hommes verts de Lowell-Todd etc, et enfin  1970, la sonde Viking qui découvrant un désert biologique.
- Les fouilles auprès du lac Momo.
- Images de la sonde Mars Parthfinder
- Interview de nombreuses personnalités du monde scientifique : Neville Woolf (univ Arizona), Paul Davies (université Adélaîde), Michel Mayor, Didier Queloz, Geoff Maqrcy, Paul Horowitz (Harvard).
Dessins d'enfants montrant la terre."	"Pioneer 10, depuis son lancement il y a 25 ans, a dû parcourir quelque dix milliards de kilomètres dans l'espace. A bord de ce vaisseau ivre, les silhouettes d'un homme  et d'une femme, gravées sur une plaquette, espèrent une rencontre du troisième type... Les scientifiques rêvent eux aussi : notre galaxie compte cent milliards d'étoiles, expliquent-ils, et jusqu'ici, on estime à cinquante milliards le nombre de galaxies dans ""l'univers observable"". Pourquoi alors, parmi ces milliards d'étoiles, n'y aurait-il pas d'autres planètes bleues où la vie est née ?
Et quand bien même elles ne ressembleraient pas à celles de la Terre, pourquoi ne pas envisager d'autres conditions de vie ? 
Le documentaire rappelle au risque de casser ce bel espoir, qu'au XIX siècle on était persuadé que la Lune abritait les Sélénites, et que les Martiens se mouraient d'une catastrophe écologique : la désertification de leur globe rouge.
On projetait là haut ce q'uon croyait être l'avenir de la Terre..."
	"[Source Kantar Media] : 
- La NASA a lancé son télescope en quête d'autres planètes peut-être des jumelles de la Terre. Tess a été propulsé hier soir depuis Cap Canaveral en Floride. Le lancement est réussi après un délai de 2 jours du à des vérifications sur la fusée.
- Reportage de Florence Gaillard.
- La NASA passe à la vitesse supérieure dans sa quête de vie extraterrestre avec dans son viseur les exoplanètes, soit les planètes hors du système solaire.
- Déclaration de Jeff Voloson, manager du projet."
	"[Source Kantar Media] : 
- Thème : l'espace. Avec Guillaume Grallet du Point. Une fusée de Jeff Bezos a fait voler une navette de six personnes. Les astronomes recherchent des vies extra-terrestres.
- La société Made In Space a mis au point une imprimante 3D pour l'espace.
- La sonde japonaise Hayabusa 2 se rapprohe d'un astéroïde.
- La NASA cherche a faire pousser des légumes dans l'espace.
- Une université japonaise a reproduit des souris dans l'espace.
- Citation Elon Musk.
- Le déploiement des satellites a permis de protéger les tortues.
- Citation Rover."
"          - Sur l'origine de la rumeur : ""Silence du Pentagone, explications pas très claires : le doute s'installe. Mais la base est aussi un terrain d'entraînement, il y a des explosions dans le ciel qui peuvent facilement passer pour des phénomènes étranges"".
          - Sur les témoignages : ""Tous racontent la même histoire : l'amnésie partielle (missing-time). les récits sont les mêmes en Chine, en Russie, en Australie.""
          - Sur les contacts établis avec d'éventuelles civilisations extra-terrestres : ""Etudes faites à Harvard et à la NASA 5...) Equipements sophistiqués pour capter d'éventuel signaux"".
          - Et la conclusion, c'est que ""les Américains n'ont pas peur du tout d'être ridicules""."	
	"[Source iMedia]
Décryptage des dernières tendances en matière de nouvelles technologies et de leur impact sur la société.

[Source internet site de l'émission]
Quand l'intelligence artificielle aide les astrophysiciens. Les chercheurs de l'université de Berkeley ont mis à jour 72 bruits spatiaux grâce à un algorithme. Ces ondes proviennent d'une source située à 3 milliards d'années lumière de la Terre. Mais sont-ils vraiment des signes de technologie extraterrestre ? Et comment les repérer ? Retour sur les recherche du projet ""Breakthrough Listen"" avec son directeur.

Sommes-nous seuls dans l'univers ? Une question qui obsède les scientifiques.
Pour y répondre, l'astronome Frank Drake a formulé une équation en 1961. Explications en images.

En quoi consiste réellement la recherche d'intelligence extraterrestre ? Et après quels signaux spatiaux les scientifiques courent-ils ? C'est le travail de l'institut SETI (Search for Extra-Terrestrial Intelligence). Reportage sur l'histoire d'une discipline scientifique pas comme les autres.

La Nasa et l'Agence spatiale européenne prennent au sérieux la question de la vie extraterrestre. Elles ont développé un programme pour protéger la Terre d'une intrusion ou contamination alien, celui d'Officier de protection planétaire. Explications sur une profession qui n'est pas de la science fiction.

Enfin, on réveille l'ufologue qui sommeille en vous. Comment distinguer les ovnis des satelittes et des avions ? Le Geipan, un organisme qui dépend du CNES, répond à vos questions. Des applications existent également pour observer les mystères venus du ciel depuis votre smartphone."
"Jean Luc DELARUE présente ses invités, Patrice FRANCESCHI, écrivain et vice-présidentt de la Société du Club des Explorateurs, Evelyne Sarah MERCIER, anthropologue, François LOUANGE, ingénieur, chercheur au CNRS, André BRACK, chimiste, dir. de recherche au CNRS, Jean-Jacques FAVIER, astronaute et scientifique, Emmanuel CAUCHY, médecin et  Joël KERRELOU, océanologue. D'autres invités interviennent au cours du débat et Jean ROUCH est le chroniqueur de la soirée.
          - En introduction, Jean-Pierre LUMINET, astrophysicien, directeur de recherche au CNRS, en se basant sur la théorie de la relativité d'Einstein, explique ce qu'est un ""trou noir"" et un ""trou de verre"" et considère qu'il est impossible de voyager dans le passé, puisqu'on ne peut dépasser la vitesse de la lumière.
          - REPORTAGE : LA VAGUE BELGE. En 1989, une vague d'ovnis déferlait dans le ciel de Belgique. Le phénomène mobilisa scientifiques et profanes. Après le récit d'un témoin, interview de Patrick FERRYN, photographe, qui constate, en montrant ses clichés d'ovnis, que le résultat ne correspond pas au phénomène observé qu'il décrit. A l'association SOBEPS de Bruxelles, spécialisée dans l'étude des ovnis, Lucien CLEREBAUT, sécrétaire général, parle du dénominateur commun aux témoignages : la forme de l'objet. Le professeur Auguste MEESSEN, physicien, (Université Catholique de Louvain) montre, sur des schémas, les différents ovnis observés en Belgique, curieusement invisibles au radar. Léon BRENIG, physicien, (Université libre de Bruxelles), constate l'avancée technologique de ses ovnis, dépassant de loin nos connaissances actuelles. Il souhaiterait la mise en place de moyens plus performants pour l'étude de ces ovnis (rayons X, infra-rouge, ect...). Témoignage du Cdt MEELBERGS, pilote de F16, qui affirme qu'auncun prototype de l'armée, ni phénoméne connu ne ressemble à ce qu'il a observé en 1989. Une seule photo de cette vague belge fait office de preuve. François LOUANGE, ingénieur, spécialiste des ovnis, en regardant cette photo, ne peut identifier l'origine de l'objet photographié. Tout en commentant d'autres clichés d'ovnis, Il explique les divers moyens permettant d'analyser ces clichés. Il suppose que tous les ovnis observés sont liés à des phénomènes différents.
          - Sur le plateau, F LOUANGE rappelle les moyens de détecter une photo truquée et l'importance de se donner de nouveaux outils de recherche. A MEESSEN apporte un élément nouveau. Des radiations ultra-violettes émises par les ovnis modifient le rendu photographique et empêchent la détection par les radars. Intervention de Jean-Pierre CHAPEL qui commente ensuite en off un montage photographique sur des sites où il y aurait la marque du passage d'extra-terrestres (Plaine de Nazca, île de Paques, Val en Italie, ect...). JJ FAVIER rappelle que les ovnis sont parfois liés à des phénomènes terrestres.
         - Jean HEIDMANN, spécialiste de radio-astronomie, (étude de l'espace par le son), dir. de recherche au CNRS, agacé par les questions et réflexions de DELARUE, le rabroue gentillement, puis émet les hypothèses subodorant la présence de vie extra-terrestre et justifiant l'ensemble de ses recherches.
          - André BRACK parle des recherches en cours sur Mars et Europa, où les conditions de vie sont ou ont été similaires à celle des origines de la vie sur terre. Il précise, non sans humour, qu'il s'agit de trouver des traces de systèmes bactériens simples.
          - JJ FAVIER raconte son expérience de vol spatial puis il commente en off les différents moments du  vol sur un montage film de ce voyage. Il parle de l'intérêt de ces vols pour l'étude des processus biologiques humains. Depuis cette expérience, il voit la terre comme un village qu'il faut préserver.
          - REPORTAGE. [L'EXPERIENCE DE LA NDE]. Témoignages de personnes ayant connu, lors d'un  coma, la NDE, Near Death Experience, appelée en Français la EMI, Expérience de la Mort Imminente. Chantal QUACCHIA, Simone PIRAT, Jacques FUSTEC et Nicole DROM racontent ce qu'ils ont vécu et ressenti, et combien cela a changé leur vie. Evelyne Sarah MERCIER, qui travaillait sur cette question, raconte comment elle a vécu une NDE en avalant de l'iboga, au cours d'un rituel africain. Les mêmes éléments recoupent les autres témoignages, sortie du corps, lumière intense, rencontre  avec ""l'innommable, la conscience universelle, la puissance à l'origine de tout"".
          - Sur le plateau, ES MERCIER relate à nouveau cette expérience où elle a fait, entre autre, un bilan de vie, rencontre avec sa propre conscience. Questions d'E CAUCHY sur les effets de l'Iboga, plante qui appauvrit le cerveau en oxygène. Chantal QUACCHIA parle de rencontre avec des entités spirituelles. Patrick DEWAVRIN, psychiatre, donne une explication psy. du phénomène. Intervention de J ROUCH qui dit mieux comprende la transe et compare la NDE à ""l'évidence poétique"".
          - REPORTAGE. En 1994, Patrice FRANCESCHI découvrait une ""zone blanche"", en Papouasie. Des papous vivaient dans la vallée de l'Irian-Jaya, sans jamais avoir eu de contacts avec le monde extérieur. Au Club des Explorateurs, Claude COLLIN-DELAVAUD, pdt, rappelle les buts de cette association. Patrcie FRANCESCHI, souvent en off sur des images de l'expédition, raconte cette aventure, ses rapports avec les papous qui ""sont exactement comme nous"". Virginie LASSERRE, anthropologue, souligne l'interêt d'une telle expédition. Au musée de l'Homme, Jean ROUCH parle du Club des Explorateurs (BT photos des membres les plus connus et expédition du Mali en 1935). Devant des objets rituels exposés au musée, il dit avoir tué ses objets qu'il a ramené d'Afrique, ""sépultures de culture"".
          - Sur le plateau, P FRANCESCHI commente le reportage, et raconte comment se sont fait les premiers contacts avec les papous. Gérad FOLLIN, ethnologue, définit son travail, différent de celui de l'explorateur.
          - Joël KERRELOU parle de la vie sous-marine, située le long de la grande chaîne volcanique, où, sans photo-synthèse, vit un bestaire animal impressionnant, à des températures extrêmement élévées. Il commente en off un montage film.
          - Jean-Robert PETIT, glaciologue au CNRS, travaille sur le site de Vostock, en Antartique, où les chercheurs ont découvert sous la glace un lac faisant 600 fois la taille du lac Léman, enfermé dans la glace depuis plusieurs millions d'années. Il parle de l'intérêt de cette découverte, ""s'il y a de l'eau, il y a de la vie"".
          - Conclusion de J ROUCH qui rend hommage à un grand explorateur en racontant l'histoire des Dongos qui connaissaient l'existence d'un sattelite invisible à l'oeil nu."	
"[Source France 3 Régions] : 
Ils sont nombreux vendredi soir dernier a avoir vu 7 petits triangles oranges et lumineux qui se déplaçaient depuis Fourvière jusqu'à la place Bellecour. L'un d'entre eux a même filmé la scène et après visionnage de la vidéo par un scientifique, ces ovnis n'étaient que des petites lanternes  lancées à l'occasion d'un mariage.
///"	"[Source France 3 Régions] : 
Autres participants : TIBAUDO FRANCOIS; GIRARD DAMIEN (Astrophysicien Observatoire de Lyon)
///

[Source France 3 Lisa : bancs titres] : 
 - François Tibaudo
 - Damien Girard Astrophysicien Observatoire de Lyon"
	"[Source iMedia]
Décryptage des dernières tendances en matière de nouvelles technologies et de leur impact sur la société.

[Source site internet France 24]
Existe-t-il une vie extraterrestre ?  Cette question existentielle fascine la Silicon Valley. Des initiatives des géants de la tech aux laboratoires de recherche californiens : rencontre avec celles et ceux qui cherchent la vie ailleurs. L'astrobiologiste française et directrice du Carl Sagan Center du SETI, Nathalie Cabrol, est notre invitée.  

Il y a quelques mois, l'US Navy confirmait que plusieurs vidéos de ""phénomènes volants non identifiés"", captées entre 2004 et 2015, n'étaient pas truquées. Une révélation qui relance la passion de l'ufologie dans la Silicon Valley. Un marché s'est créé pour rechercher une preuve d'intelligence extraterrestre. Reportage en Californie de Valérie Defert et Pierrick Leurent.

Et si la réponse à la vie extra-terrestre se trouvait sur Terre ? Pour en avoir le coeur net, une chercheuse française explore les milieux terrestres extrêmes. Des lacs volcaniques aux cratères créés par des astéroïdes millénaires,  Nathalie Cabrol manie l'astrobiologie pour découvrir la possibilité d'une autre vie. Interview.

L'Univers est-il une zone de non-droit ? La question de la vie dans l'espace amène celle du droit à y appliquer. L'ONU planche dessus depuis 1963. Quel droit international pourrait s'appliquer aux Terriens s'ils s'installaient un jour sur une autre planète ? Guillaume Grallet ouvre son code spatial.

Enfin, 7-117 langues et dialectes sont répertoriés dans le monde. Difficile de pouvoir tous les parler. Heureusement, les traducteurs simultanés et intelligents sont là pour nous aider. Ils se cachent dans nos smartphones, nos oreillettes ou des appareils dédiés. Démonstration avec un interprête de poche venu du Japon, Pocketalk, aussi agile en reconnaissance vocale que visuelle. De son côté, Google Translate vient d'ajouter cinq dialectes à son répertoire, dont le tatar et le ouïgour, portant le total des langues qu'il maîtrise à 108."
"[Source France 3 Régions] : 
Un pluss très particulier, on parle d'ovnis, de soucoupes volantes et d'extra terrestres. A l'occasion de la sortie d'un livre ""Des ovnis sur le nord"" du lillois Dominique Loison qui recnese une vingtaine d'histoires d'apparitions dans la région Nord Pas Calais depuis 60 ans. Parfois très surprenant.
///"	"[Source France 3 Régions] : 
Autres participants : ONDT JEAN PIERRE D' (Enquêteur pour le GERU Nord Pas de Calais Groupement d'Etudes et de Re
cherches Ufologiques)
///"
"[Source France 3 Régions] : 
la sortie d'un livre ""Des ovnis sur le nord"" du lillois Dominique Loison qui recnese une vingtaine d'histoires d'apparitions dans la région Nord Pas Calais depuis 60 ans. Parfois très surprenant. 
En 1954 à Chéreng Jean Luc Besangez a suivi un copain d'école qui a assisté au décollage d'un ovni dans un champ. Plusieurs habitants témoigneront. L'affaire fera l'actualité nationale. 
On trouve une vingtaine d'histoires comme celle ci dans le livre de D Loison. Toutes authentiques comme celle de Quarouble, un ouvrier qui prétend avoir rencontré des extra terrestres et qui deviendra une célébrité nationale. 
Pour écrire son livre D Loisoin a travaillé avec le groupement nordistes d'études des ovnis, des ufologues. 
Exemple Billy Berclau en septembre 1995.
///"	"[Source France 3 Régions] : 
Autres participants : BESENGEZ JEAN LUC
Autres descripteurs secondaires : HONDT JEAN PIERRE D'
///

[Source France 3 Lisa : bancs titres] : 
 - Chéreng (Nord )
 - Jean-Luc Besengez
 - Dominique Loison  Auteur de ""OVNIS sur le Nord"" images d'archives - septembre 1995"
"Chronologie et thèmes abordés :
- Les premiers pas de l'homme sur la Lune.
- Son ambition d'explorer l'univers et sa volonté de sortir du système solaire.
- La formation de notre système solaire.
- La difficulté de détecter de petites planètes.
- Les techniques d'observation actuellement utilisées.
- Les conditions de naissance d'une planète similaire à la nôtre.
- L'exemple de la constellation Alpha du Centaure située à quatre années lumière de la Terre.
- Les étapes qui seront nécessaires pour détecter puis investir une planète de cette constellation.
- Le processus à très long terme dans lequel s'inscrit cette conquête.
- Les voyages interstellaires.
- Les études menées sur les systèmes de propulsion.
- Les particularités d'un vaisseau interstellaire.
- La gravitation artificielle.
- La géométrie complexe de l'espace galactique.
- Les particularités des planètes du système solaire.
- L'utilisation d'un champ magnétique comme source d'énergie.
- La façon dont les hommes vivront à bord de vaisseaux spatiaux (loisirs, alimentation...).
- Le vide interstellaire.
- Les rayons cosmiques.
- Les retombées physiques et psychologiques d'un long voyage dans l'espace.
- Les risques encourus et le problème majeur posé par la communication : aux confins de l'univers il n'est plus possible de communiquer avec la terre.
- Les réactions psychosomatiques des astronautes face à l'isolement et à l'éloignement.
- Le maintien de bonnes conditions sanitaires à bord d'un vaisseau spatial."	Les voyages dans l'espace interstellaire ne seront peut-être plus l'apanage de la science-fiction. Cet épisode nous entraîne, à bord d'un vaisseau spatial futiriste, en compagnie de son équipage, dans l'ultime odyssée : un voyage de 10 ans semé d'embûches (danges de collision avec les astéroïdes, maladies, découverte de vie extra-terrestre...) jusqu'à une étoile éloignée.
"     - Montage d'archives : planètes ; observatoire Saint Michel de Provence.
     - Interview de Michel MAYOR, astrophysicien, observatoire de Genève : il parle de la découverte des nouvelles planètes : ""les planètes c'est un phénomène banal et fréquent dans l'univers ; d'ici quelques années ce n'est plus en dizaine qu'on va les compter mais en centaines ou en milliers"".
     - Images du ciel en couleur prises par Hubble. 
     - Interview d'André BRAHIC de l'observatoire de Paris : ""il y a des milliards d'étoiles ; ce serait un égocentrisme extraordinaire que de croire que nous sommes seuls au monde ; quand bien même il y aurait 1 chance sur 10 milliards que la vie apparaisse quelque part, compte tenu du nombre de milliards d'étoiles dans l'univers il y aurait la foule"".
     - Dôme de l'observatoire de Paris ; lunette d'Arago ; rouages.
     - Suite interview d'André BRAHIC : ""nous qui sommes astronomes et qui observons toutes les nuits, nous n'avons jamais vu le moindre extra-terrestre et les témoignages sont ceux de gens qui n'ont rien à voir avec le milieu scientifique. Ce serait extraordinaire que les extra-terrestres se fassent voir aux autres et se dissimulent aux scientifiques"".
     - Images d'archives (ESA) : lancement d'une sonde de nuit.
     - Archives ESA : images de Jupiter ; photos du sol de la planète Miranda ; Saturne : en off André BRAHIC parle de cette planète.
     - Images d'archives de la NASA : planète Mars, en off André BRAHIC parle des traces laissées par la présence de l'eau.
     - Archives de 1953 (NASA) : expérience de Stanley MILLER : reconstitution des origines de la vie sur terre.
     - Interview de Michel MAYOR : ""la recherche de la vie passe par d'autres découvertes, il faut trouver des planètes telluriques rocheuses, des planètes avec une surface, de l'eau, des températures agréables, puis il faut construire des instruments qui permettent de trouver une preuve de l'existence de la vie sur ces planètes"".
     - Images d'archives (MIF sciences) : extrait du documentaire : ""sommes-nous seuls dans l'espace ?"".
     - Suite interview d'André BRAHIC parlant des signaux envoyés dans l'espace : ""le signal est parti de la terre, le message arrivera dans 24 mille ans, le signal dure 3 minutes, si on nous répond, nous aurons la réponse 24 mille ans plus tard. Dans 50 millions d'années le soleil aura explosé, la terre ne sera plus là...""."	
	Quelque part dans l'espace, une civilisation extraterrestre s'est peut-être développée... Entrer en contact avec elle sera l'un des grands défis du prochain millénaire. Nous verrons comment les astronomes se livrent à cette quête extraordinaire, en écoutant l'univers avec des radiotéléscopes géants et en envoyant des sondes sur d'autres planètes. Savez-vous qu'ils sont aidés par les ordinateurs de milliers d'internautes bénévoles ? A-t-on déjà décelé un signal extraterrestre ? A quoi ressemble-t-il ?
"- Reportage de Jacques MASSARD sur les OVNI. Il a recueilli les témoignages de deux anciens pilotes aujourd'hui à la retraite, Jean Charles DUBOC ancien pilote de ligne et Jack KRINE ancien pilote de chasse, ayant aperçu lors de différents vols des formes dans le ciel pouvant faire penser à des OVNI. Images SIRPA AIR d'avions et de radars.En plateau, les deux anciens pilotes racontent encore une fois ce qu'ils ont vu. Mr THOUANEL, journaliste aéronautique, montre des images d'OVNI tournées par une camera amateur dans le ciel du Chili.
- Reportage de Karen ABOAB sur les NDE, Near Death Experience, en anglais, et EMI Expérience de Mort Imminente, en français. Elle a recueilli le témoignage de Jean MORZELLE qui a vécu à l'âge de 20 ans sa propre mort lors d'une opération chirurgicale. 50 ans après, il raconte son expérience avec beaucoup de détails. Le docteur François BING psychiatre à Bordeaux explique son scepticisme face à de tels témoignages. L'anthropologue Evelyne Sarah MERCIER évoque sa propre expérience de NDE provoquée à l'aide de plantes hallucinogènes lors d'un voyage en Afrique. Le professeur Jean Paul ESCANDE pense qu'il s'agit de récits à prendre très au sérieux. En plateau, Jean MORZELLE complète son témoignage et Yves LIGNON, grand habitué de ce type d'émission professeur de mathématiques à l'université du Mirail de Toulouse et statisticien, commente les reportages qu'il vient de voir. Pour lui, la science observe et constate puis cherche à comprendre mais n'a pour le moment rien expliqué.
- Reportage de Bruno EVENOU dans le Gard sur ""la dame blanche"" aperçue une nuit au bord d'une route le 15 novembre 1998 par Marie qui avait alors refusé d'en parler. Anne Sophie MANDROU journaliste de France 3 sud avait réalisé à l'époque un reportage sur ce fait divers en collaboration avec la gendarmerie. Les différents acteurs de l'époque reviennent aujourd'hui sur les faits. En plateau, Yves LIGNON commente le sujet.
- Reportage de Frédéric HISSBACH sur un médium du nom de SEVAN, portant la tenue appropriée : crâne rasé, longs habits blancs, bijoux et yeux très clairs. Assis sur un rocher au bord de la Méditerranée, Sevan explique que depuis l'âge de 10 ans il communique avec les morts et qu'il est donc logiquement devenu médium. Ses clients, des hommes d'affaires et des chefs d'entreprise, le consulte pour obtenir des conseils. En plateau, Sevan revient en détail sur son métier de médium.
- Reportage de Yann ARNOUX sur l'histoire désespérante de Jean Claude. Fossoyeur dans un cimetière, il rencontre Sophie dont il tombe éperdument amoureux. Quatre mois après leur rencontre, Sophie le quitte. Jean Claude va alors voir un marabout pour la retrouver. En quelques séances, Jean Claude perd 150 000 frs, son appartement et son emploi.
- Reportage en camera cachée d'un journaliste de l'équipe se faisant passer pour un homme dont la femme l'a quitté. Il se rend chez un médium puis un marabout puis un voyant pour tenter de la faire revenir ; les dialogues apparaissent sous-titrés à l'écran et on ne voit pas les  visages. Le premier lui demande 2500 frs, le second 5000 frs et le troisième 8000 frs."	
"BREVES
 - Sujet sur MARS : des scientifiques de la NASA ont mis en évidence qu'il n'y avait pas que de l'eau gelée sur MARS
 - Sujet sur moustiques : des chercheurs britanniques espèrent concevoir des moustiques génétiquement modifiés pour combattre le paludisme
 - Sujet sur la pyramide de GUIZEH : des archéologues ont découvert une pyramide dédiée aux bâtisseurs de pyramides. Cette découverte prouverait que les bâtissseurs de pyramide n'étaient pas des esclaves mais des hommes appartenant à une confrérie dont le savoir était secret."	
"[Source France 3 Régions] : 
Y-a-t'il de la vie sur les comètes ? La vie qui est apparue sur Terre est-elle d'origine extraterrestre ?...  2 chercheurs relancent cette thèse audacieuse. Ils pensent qu'il y aurait des traces de vie sur la comète Tchouri. Cette comète sur laquelle s'est posée le robot Philae, en partie piloté depuis le centre spatial de Toulouse. Explications.
///"	"[Source France 3 Lisa : bancs titres] : 
 - ESPACE"
"Liste des intervenants : 
- Marc Filterman, créateur du site ""Scandale français"" qui multiplie les révélations de complots...
- Yves Bonnet, ancien directeur de la DST, il parle de son expérience dans le contre-espionnage.
- M. Baret et M. Mougenot, Duluc Détective, racontent l'univers sombre des enquêtes de détectives privés.
- Maître Denis Talon, avocat spécialiste des troubles et conflits de voisinage. Il analyse les expressions de la paranoïa ordinaire et quotidienne.
- Norman Spinrad, écrivain, auteur de nombreux romans de science-fiction. Il évoque la parano aux Etats-Unis.
- Iain Sinclair, écrivain, évoque des histoires de parano londonienne et donne sa définition de la paranoïa.
- Simon Davis, responsable de Privacy International, une association qui lutte contre le développement des caméras de surveillance dans la vie quotidienne.
- Maurice Dantec, écrivain. Selon lui, la paranoïa pour un écrivain peut servir à observer le réel.
- Jonathan Vankin, écrivain, spécialiste américain des complots politiques et des crimes en tout genre.
- Cameron Tuttle, auteur du Parano Pocket Book, le bréviaire des statistiques affolantes et autres détails angoissants de la vie quotidienne.
- Adam Parfray, éditeurs de textes les plus paranos sur la parano.
- Robert Page, membre de la NRA (National Riffle Association), un lobby puissant qui défend le droit de porter des armes. Selon lui, le persécuté doit pouvoir se défendre à tout moment.
- Stéphane Bourgoin, auteur et spécialiste français des sérial killers. Il parle de la génèse paranoïaque de ces cas qui fascinent et terrorisent la population.
- Michel Plon, psychanalyste.
- Franck Black, ancien leader des Pixies qui croit aux OVNI pour en avoir vu à quatre reprises."	
"- Rétrospective de la carrière de Claude VORILHON, de ses débuts comme chanteur jusqu'à sa rencontre avec les extra terrestres, à travers des images d'archives, l'interview de l'intéressé et des témoignages d'adeptes.
- Entretien avec sa mère, dans son village natal, qui approuve les activités de son fils.
- Rencontre à Clermond Ferrand de Patrice VERGES qui présente le journal Autopop dans lequel Claude VORILHON était rédacteur en chef dans les années 70.
- Séquence du Grand Echiquier dans lequel il était venu parler en 1973 de sa rencontre avec les extra terrestres et interview de Jacques CHANCEL qui évoque sa rencontre avec Claude VORILHON et sa forte personnalité.
- Série de témoignages d'adeptes de la première heure : Patrick et Mireille DARNAY qui n'y sont restés qu'une année, et STONE et CHARDEN, qui resituent la secte dans le contexte des années 70.
- Analyse de son look, qui n'a cessé d'évoluer depuis 30 ans, ponctuée par l'interview de Marcel, évêque raélien et adepte depuis 25 ans."	"Claude Vorilhon, alias Raël, est à la tête d'une importante secte française, l'Eglise Raélienne. Ils seraient environ 10 000 adeptes dans le monde. Pour ses disciples, cet auvergnat de 54 ans est le dernier des prophètes, à la fois fils d'un extra terrestre et demi fils de Jésus. Il leur explique depuis 25 ans que le monde a été créé par des extra terrestres, les Elohim, qui vont d'ailleurs bientôt revenir sur terre. Pratiquant la ""méditation sensuelle""et ""l'orgasme cosmique"", les raéliens sont aussi partisans du clonage humain. Maisqui est vraiment Raël, cet ancien chanteur, ancien VRP et ancien journaliste sportif ? Comment a-t-il réussi à convaincre autant de fidèles ?"
	"[Source : Prompteur France 2]
     - La planète mars suscite bien des rêves et bien des fantasmes... 
     Une photo prise en 1976 representait, du moins  pour certains, le visage sculpté par des extra terrestres... Il s'agit en fait d'une simple coline; C'est ce qu'indique la Nasa... mettant fin à un débat qui a duré de nombreuses années. 
     Rien à voir donc avec un quelconque organisme vivant.. Ces nouveaux clichés ultra performants sont une preuve indiscutable."
	"[Source : Prompteur France 2]
     
     c'est une découverte qui ouvre de nouveaux horizons, une vie microbienne d'un type inconnu sur la terre a été détectée. . c'est la très sérieuse revue britannique Nature qui le révèle.
     elle pourrait donner des indications sur d'éventuels éco-systèmes extraterrestres de meme nature.
     Romuald BONNANT
     
     ssujet"
